step,track_id,innov_x,innov_y,S00,S01,S10,S11
40,1,4.7497945597632878,3.9114290932773268,10.010301642869303,0,0,10.010301642869303
40,2,0,0,0,0,0,0
41,1,5.6158324613494841,1.2151338227055566,9.9800471881016435,0,0,9.9800471881016435
41,2,-2.3713840352058355,0.016087455022097075,10.247906482443994,0,0,10.247906482443994
42,1,4.9062377006519426,0.18190598022900939,9.9520265158190604,0,0,9.9520265158190604
42,2,0.66598505877577452,0.96191152082830444,10.184823791949009,0,0,10.184823791949009
43,1,2.71153677925534,-1.547005528814918,9.9259855619979263,0,0,9.9259855619979263
43,2,-5.3108081779060399,1.1463716517754028,10.129794018305006,0,0,10.129794018305006
44,1,3.7976690283119083,5.1937331524404247,9.9017100663762498,0,0,9.9017100663762498
44,2,-6.9410199821450789,-2.7734706380072365,10.081298034357561,0,0,10.081298034357561
45,1,0,0,0,0,0,0
45,2,1.2250436996514367,-1.799297244845746,10.038182234471364,0,0,10.038182234471364
46,1,-4.4899993822257187,-4.5617159698551237,9.9414832021852284,0,0,9.9414832021852284
46,2,-5.4667424910312974,-5.6248385635236247,9.9995545750759138,0,0,9.9995545750759138
47,1,0,0,0,0,0,0
47,2,5.4416199993303138,0.16520641977086231,9.9647142201969245,0,0,9.9647142201969245
48,1,0.3628861675524746,-3.0639844041553626,9.9739586484693241,0,0,9.9739586484693241
48,2,-2.4938517983135142,-0.50965028756286446,9.9331027595097279,0,0,9.9331027595097279
49,1,-2.2304404984990214,1.5646405513081754,9.9377121892013687,0,0,9.9377121892013687
49,2,2.7931271071716424,0.57865434592701959,9.9042696520251852,0,0,9.9042696520251852
50,1,3.6163290076976082,2.8714899879228089,9.9050620586133835,0,0,9.9050620586133835
50,2,-7.8985771264044828,3.8761371958121704,9.8778472763941743,0,0,9.8778472763941743
51,1,2.086568781793865,-1.9224222895055272,9.8754834405111254,0,0,9.8754834405111254
51,2,-4.8316088670652562,-0.42801802945623812,9.8535326075709282,0,0,9.8535326075709282
52,1,-6.1435873405895975,-4.0262845964706857,9.8485518333279281,0,0,9.8485518333279281
52,2,-0.18358111530953636,-2.0503168430865268,9.8310735518806869,0,0,9.8310735518806869
53,1,6.0255868236967203,1.9374839619048239,9.8239200647647777,0,0,9.8239200647647777
53,2,-2.6555083596764746,1.2033870616492157,9.8102586136637662,0,0,9.8102586136637662
54,1,-6.0088743739502846,0.6613281927736312,9.8013013561313649,0,0,9.8013013561313649
54,2,1.9260497275880297,-3.1951443775964172,9.7909089819385802,0,0,9.7909089819385802
55,1,-2.9001247980332252,-0.2311479855021123,9.7804566554937971,0,0,9.7804566554937971
55,2,-1.3962070164218972,1.0779598387997116,9.7728724000309963,0,0,9.7728724000309963
