step,true_id,zx,zy
0,1,-42.5702815040489,65.615207465206282
0,2,89.682784535228151,95.026099299474751
0,3,-57.75287601835538,20.932688657845084
0,0,-177.38437866274498,-213.04792656423751
0,0,64.937441561593261,22.250300720582139
0,0,2.0242726384267939,-260.30650554166834
0,0,-360.7659632434017,-24.728668645138807
0,0,373.32622543991806,-351.04144454290116
0,0,-23.124417512487128,-219.27948448881017
0,0,71.105882624930047,19.426629866383127
0,0,-391.11724727873252,264.60843384069994
0,0,107.24526929524565,379.28978633078714
0,0,-273.83290279971868,-288.93484165280722
0,0,-114.09278408979553,319.53120876468785
0,0,80.583407777519241,-374.48358755648422
0,0,320.89316199515531,-230.88529536361202
0,0,-213.19024899486649,164.99092746518312
0,0,283.43576531232895,-220.74255547057265
0,0,-381.9694881850956,-78.32754462964138
0,0,339.94451794629254,-263.10832859356503
0,0,282.17734840348498,-155.19941241141061
0,0,-285.27078745417811,119.02043666396054
0,0,-66.019171870211224,103.24622999551937
1,1,-43.244893254899623,71.730830699260537
1,2,89.150553257152254,96.712571103534245
1,0,-393.87215768528796,338.15533920609386
1,0,-7.5434840022522209,399.40688527060473
1,0,118.24108514469538,-181.09396326026257
1,0,-89.524148410149621,73.69074005061114
1,0,82.975028317690828,-309.21861890798226
1,0,56.277949808160344,136.68788869081405
1,0,177.32945829718921,232.74752226237024
1,0,-175.04673040671693,-194.85687785491768
1,0,357.91170344957976,-51.080090244144301
1,0,-368.11879696845438,150.0406120168247
1,0,273.60301109973938,-322.92717475308297
1,0,177.53352267300809,131.59839919969781
1,0,103.36750320586079,-297.71464984131876
1,0,-173.6644090059693,-397.65609333091783
1,0,-41.880613260013092,257.98886235204492
1,0,-192.15094271869998,-7.4154467718293482
1,0,-30.522778637495396,289.61108501453714
1,0,264.78378993793365,-350.06580543199232
1,0,-293.11354577350085,191.48155547498905
1,0,286.58681396032603,339.87453282647613
2,2,90.978244990845639,91.049547751300992
2,3,-58.440967632181497,22.187792940241035
2,0,-211.98674534669283,-287.00311753080587
2,0,-326.78026026498543,139.29335802252947
2,0,-14.071673868925227,-269.17901350672759
2,0,130.65669694065889,75.536814607572197
2,0,-197.6933298441252,286.24851340885471
2,0,151.94801817029111,-118.93525988503785
2,0,269.09444555362649,382.98880495325182
2,0,-111.10268471041023,317.61560082494248
2,0,-282.55356081527043,98.512768281002224
2,0,31.682563202668579,-389.80929281118523
2,0,-276.66991004618887,-320.29176777350494
2,0,-128.3252207858495,-193.54422656915426
2,0,-369.22818200112852,-362.61610010547474
2,0,323.51111394511099,352.40795460801866
2,0,289.14870734977177,78.632858106222244
2,0,-300.57122642746077,-355.24440345585384
2,0,-357.92572276376455,194.93574016579879
2,0,-307.38955003109834,-168.71610064261409
2,0,103.52338914340402,-312.25482158078484
2,0,304.34435555547861,66.237616351155722
3,2,98.249079814295996,90.819594518339841
3,3,-57.020057126542028,20.674530647714267
3,0,-371.94713151415237,15.998129954494011
3,0,-187.62246005073573,-391.17894201240733
3,0,-176.37532295822123,-127.66079189696802
3,0,2.1117811736854897,-195.89517114607534
3,0,385.59364296462473,-14.737887481720424
3,0,5.203029446896501,6.0228491156905761
3,0,247.87092369783716,-194.86253086286229
3,0,170.53781668224968,329.24311408934398
3,0,278.05640989685145,-64.003453859878874
3,0,-152.75000983700738,-264.1151560516339
3,0,-371.01284798595674,-2.5442218267362371
3,0,335.72452335515936,-29.302782194743848
3,0,-366.04715051832704,-42.005047065078749
3,0,-75.381864775916625,-252.56484457889866
3,0,-56.797383072928476,-326.76808165871051
3,0,167.00250611765659,-109.88856696687375
3,0,314.27601261256922,-348.24858947258247
3,0,-127.82593376063245,-0.19915157457637278
3,0,301.93514253394869,256.63534019104412
3,0,273.13716948719991,6.1002927908299753
4,1,-48.461121021842679,65.659752392356594
4,2,93.358827814627645,92.497442257868286
4,3,-51.377388658212745,21.620243710763358
4,0,-181.16667403294232,-172.32394475733921
4,0,-353.3536390780352,-89.169178439772608
4,0,-53.284723686900115,-69.248941445042163
4,0,-40.65665726774057,-53.033779846023421
4,0,99.942239724861182,-11.71945772030929
4,0,318.18732220866474,365.80455389810675
4,0,-355.67603686602178,356.25872042774773
4,0,-215.53815137122268,-235.7291032538912
4,0,-212.61698566592023,-68.26842129296908
4,0,-295.94977834845071,-302.84034498986108
4,0,-305.7144434673819,-1.3140128019344388
4,0,111.76909776899979,330.51054763603656
4,0,250.20546732612053,83.774414375872922
4,0,-285.40314866048658,-314.49711960278506
4,0,-40.560846964972974,90.272038873573294
4,0,-219.96717248767919,114.01173190081354
4,0,120.68898730218054,-28.143378510953898
4,0,35.250067096877302,-214.88846327961423
4,0,271.40553484071478,-329.79940458596212
4,0,137.8583514268918,385.19429665712329
5,1,-46.456575178898234,67.123051073419049
5,2,97.367227007821626,92.814528586175371
5,3,-52.071756906172126,26.040547496480947
5,0,-26.69332780444007,330.15126997898153
5,0,-151.55133421227757,175.79719037835451
5,0,1.033174263954173,388.52607478494116
5,0,-393.90526083907235,-62.396749164784012
5,0,315.73546419790449,-297.47999814533489
5,0,-293.82134128867443,-390.98123382694308
5,0,-395.28302516313164,-194.92172274303704
5,0,-278.82649920828032,-70.422530031386003
5,0,-385.57632091092461,-352.50747516695037
5,0,159.34503327028011,16.89387929527264
5,0,-168.65949043826927,382.06970971184768
5,0,205.71066251241862,-135.99140770277396
5,0,-233.70589541947913,143.95072925750645
5,0,-31.231610991221093,172.99092396107926
5,0,397.03756502323324,-110.67102517682574
5,0,-158.22272221721113,328.82706422967408
5,0,232.78741380100197,-255.72874449325244
5,0,-10.713872301669625,155.2504558943192
5,0,167.09513686456779,318.9688508454301
5,0,-256.23229203351048,300.7382018193166
6,1,-46.990507871866839,75.061310429217585
6,2,87.810935128154824,90.595572744305514
6,3,-50.562935787341686,32.203945646820159
6,0,225.16165892251391,86.558177041136901
6,0,81.766820711016749,-254.25053377307884
6,0,344.94216192800042,364.68921520859919
6,0,18.921205890293447,-385.47732655498947
6,0,376.99950923259883,-146.00079599213043
6,0,-191.26634663955349,1.4289818606707527
6,0,-360.86328316353314,221.48803745676568
6,0,254.79248838188946,156.03986089984579
6,0,-220.99696665960008,288.32754170314058
6,0,-108.30016399511244,-125.98185271371874
6,0,219.42146090613176,-103.63680957538142
6,0,-363.56630994420726,-89.014045154989134
6,0,-195.23103988331601,243.61586581211085
6,0,397.38710145109144,-10.704093085303601
6,0,155.49602488266342,-17.679965574595968
6,0,308.46129840522468,164.89781064484424
6,0,89.003601559211987,258.15477533464372
6,0,-369.40859024482398,-151.21884246092554
6,0,24.897103685954036,224.23063056572374
6,0,-203.06930605186261,-339.42547566225556
7,1,-46.054826534015099,75.900892474321012
7,2,87.97665394730241,90.963619488357153
7,3,-51.709319558190117,20.282679135218974
7,0,93.231386361828683,-202.20897636740381
7,0,-266.43770455941745,102.34374943639165
7,0,-267.88161422951066,274.62888613192212
7,0,233.05764062063136,-106.68573859274382
7,0,109.25236570072281,-158.50813008345233
7,0,38.472940877168767,-20.237226557180854
7,0,7.3145387538601447,-287.25118758828484
7,0,-273.69245259016941,-394.36714195395632
7,0,-11.517490023409582,-384.08436964677099
7,0,42.25651628744744,-209.78116899588929
7,0,-348.70254213674093,81.267477486041798
7,0,21.956649077628221,-310.59427787195466
7,0,-172.95275450013844,55.691911987868977
7,0,283.08127313943191,-334.60865284142329
7,0,118.16084671693928,-69.454911921765387
