step,track_id,confirmed,x,y,vx,vy,misses,hits,maha2
24,3,1,-34.18988112746483,17.253144107884623,20.65994779230796,-4.6175307051963017,1,22,0
25,1,1,-58.181727619122405,76.022634387600121,-10.387554353144584,6.2987649265227557,0,24,6.1251809700347843
25,2,1,88.880220240661089,89.267969681124669,-1.5907762908013257,-4.2193010841732992,0,22,0.5583867545086576
25,3,1,-33.849409200745015,16.907361052139098,19.866158531586589,-4.7492393091905063,0,23,1.2728596106757919
26,1,1,-59.745334791169292,76.597788974242363,-11.554084584330971,6.5894579598894909,0,25,5.4636633091890729
26,2,1,88.800681426121017,89.057004626915997,-1.5907762908013257,-4.2193010841732992,1,22,0
26,3,1,-33.655879059235332,16.389533510672276,18.985014350780247,-5.0581282285992097,0,24,2.2039494421653356
27,1,1,-60.165598558329336,76.298184857780896,-11.384071622523711,5.9101456342299219,0,26,2.1509842412410949
27,2,1,88.953000422246262,88.545971488736669,-1.3370658274931211,-4.5476506549285194,0,23,0.3794906964833169
27,3,1,-32.028644146924776,16.203196053581181,19.704705297660912,-4.987464230602713,0,25,1.6545390419694233
28,1,1,-61.049136282625277,77.188218057786074,-11.712597311526224,6.53151318586686,0,27,2.4972086985077899
28,2,1,88.154180369256579,88.77081201253776,-2.1085520918315024,-4.0710116942006431,0,24,2.3331015187328004
28,3,1,-31.158469043930253,15.85823164946374,19.586780210324754,-5.0854355835836609,0,26,0.091094633473280118
29,1,1,-61.83652841259088,77.09572247636639,-11.916930941297982,6.1071010788406248,0,28,1.2844491299632033
29,2,1,88.07979853872996,87.430258996031824,-2.0769619299995505,-5.2279514679882411,0,25,4.756135743949824
29,3,1,-30.468055958718747,14.644199858593167,19.30034931006016,-6.0369075703802073,0,27,4.6062053436561454
30,1,1,-62.660814695215393,77.690632743979535,-12.141356620600089,6.3915683382883506,0,29,0.86553891047097775
30,2,1,87.133019067059678,88.169219743933368,-2.9066547157359226,-4.243304192085084,0,26,7.2054847306307908
30,3,1,-29.994026934055562,14.732938067185922,18.828757900879658,-5.6617544121230603,0,28,2.0100238488875881
31,1,1,-63.563441201796074,78.060413359946395,-12.423323164225449,6.4394618420836105,0,30,0.61098695294209748
31,2,1,86.838281041204738,87.771808692828913,-3.0491582698164539,-4.4199926532525398,0,27,0.26921185304783207
31,3,1,-29.317422460774818,14.472330079103525,18.581946350620264,-5.6408044217605715,0,29,0.39804661955243476
32,1,1,-64.685786178909723,79.200742415735292,-12.888082510553799,7.1983498245785489,0,31,6.6700587306286696
32,2,1,86.70868995490342,88.328616525251917,-3.027990544247726,-3.6999795604961605,0,28,3.2108941064601622
32,3,1,-28.404654016977069,13.977538009664727,18.56716125759726,-5.8334420721010662,0,30,0.28089518219067727
33,1,1,-65.403928113017514,80.090084194263824,-12.954612169052167,7.6760208825205218,0,32,2.1994616813555314
33,2,1,85.970586370564206,88.348993764549746,-3.5558280105426094,-3.5152096396613088,0,29,2.2638150108843771
33,3,1,-27.810426055602939,14.73350653302121,18.272864180731549,-4.9106949962430937,0,31,8.1142879417233651
34,1,1,-65.705659509218876,81.156604644329875,-12.650607795174153,8.2758768307082171,0,33,4.7815965774079618
34,2,1,85.487594163047973,88.1964973559935,-3.823021813111851,-3.4948426678191242,0,30,0.60151717572268659
34,3,1,-26.613489189913523,14.805088396054417,18.515858126278449,-4.6386895519129627,0,32,1.3123174987676915
35,1,1,-66.691364918640716,80.99962329632686,-12.953054131743299,7.7870855644258015,0,34,3.8908370467940614
35,2,1,85.249822706752553,88.494766913435413,-3.8627844252176611,-3.0914099592598152,0,31,1.5785530080270924
35,3,1,-25.6876962835996,14.57315391845877,18.515858126278449,-4.6386895519129627,1,32,0
36,1,1,-67.341779247359199,81.840089871095927,-12.955361069654938,8.1639249761301365,0,35,1.85605316534896
36,2,1,84.707957795997416,88.605869358455479,-4.1528530057069357,-2.8704243084542593,0,32,1.4528904698240415
36,3,1,-24.761903377285677,14.341219440863123,18.515858126278449,-4.6386895519129627,2,32,0
37,1,1,-67.519115713345784,82.176484066448396,-12.571717177708656,8.1053693434536562,0,36,2.1771048247447085
37,2,1,84.923669966585265,88.54649772560289,-3.809086022206726,-2.8020942771503341,0,33,1.5159511205914746
37,3,1,-24.674324754567689,14.488023597861114,17.851294582860397,-4.3384132455309148,0,33,4.8658173160413982
38,1,1,-67.858942369452549,82.91189368419613,-12.34164551144473,8.368412473799582,0,37,1.9461343740532273
38,2,1,84.627688301184108,88.721109836947917,-3.8928128479880892,-2.5523937281858142,0,34,0.96063819704717623
38,3,1,-24.458069034528851,13.974026665291817,17.328586187501781,-4.5680187342253955,0,34,3.5154924690172975
39,1,1,-68.081298121339046,82.995178428999793,-12.034146294480413,8.1073354644009505,0,38,2.8497310620807674
39,2,1,84.064030137352901,88.90857155229692,-4.1791378166728439,-2.3079184194212075,0,35,2.1909048361024217
39,3,1,-23.591639725153762,13.745625728580547,17.328586187501781,-4.5680187342253955,1,34,0
39,4,0,-25.933069288311287,3.3230333674107069,0,0,0,1,0
40,1,1,-68.635417503965058,83.103383413765627,-11.997873551784835,7.8808311256674086,0,39,1.0097986842386606
40,2,1,83.287386601353873,88.649686934282229,-4.6102455093368295,-2.4168853673539417,0,36,3.3930253046463723
40,3,1,-22.584137038848052,13.220324949099703,17.432422575934247,-4.7865504520457023,0,35,0.67095042174915165
40,4,0,-25.933069288311287,3.3230333674107069,0,0,1,1,0
41,1,1,-69.235311181554295,83.497424970048996,-11.997873551784835,7.8808311256674086,1,39,0
41,2,1,83.03034687276957,88.245208527641239,-4.6299775461531381,-2.6278622460610084,0,37,0.85144240034260543
41,3,1,-21.261891663667605,12.907027603429539,17.756460734960505,-4.8397412101612858,0,36,1.4518506622940748
41,4,0,-25.933069288311287,3.3230333674107069,0,0,2,1,0
42,1,1,-70.098974625610381,82.988824242418843,-12.190467634132167,7.2217580078994912,0,40,8.9740844051063302
42,2,1,82.718742055213013,88.214443402192799,-4.6883838076398048,-2.5544930989684822,0,38,0.18349294425145402
42,3,1,-20.374068626919581,12.665040542921474,17.756460734960505,-4.8397412101612858,1,36,0
42,4,0,-25.933069288311287,3.3230333674107069,0,0,3,1,0
43,1,1,-70.632609570245179,82.939799945432583,-12.136208621466176,6.9285343789673393,0,41,1.8771954215098878
43,2,1,82.484322864831029,88.086718747244376,-4.6883838076398048,-2.5544930989684822,1,38,0
43,3,1,-19.328761841967516,12.283959163041022,17.864770438328424,-4.9354035540106791,0,37,0.29913939767218367
43,4,0,-25.933069288311287,3.3230333674107069,0,0,4,1,0
44,1,1,-71.351370271007269,83.533831630749802,-12.21465408432225,7.1020354008609505,0,42,0.84475159145765621
44,2,1,82.823966611031807,87.759108916829589,-4.286004723434873,-2.6945990154540032,0,39,3.776630058431973
44,3,1,-18.435523320051097,12.037188985340489,17.864770438328424,-4.9354035540106791,1,37,0
44,4,0,-25.55624597079769,9.7137158974410838,1.2993995012537771,22.036984725322981,0,2,0.71471504659950558
45,1,1,-71.805177740087288,83.91942858131678,-12.106800776559346,7.1229944651406969,0,43,0.30905075531388754
45,2,1,82.190896654271413,87.7242161754031,-4.5739335386784079,-2.6259550615313931,0,40,2.0239202000419056
