step,true_id,zx,zy
66,1,-92.839953573473821,85.015248750174166
66,2,76.431517052685834,90.627277568643876
67,1,-86.820731691853751,87.669948025867924
67,2,76.117727792362459,83.038631900324461
67,3,-4.8104361774319528,-0.47471598055095221
68,1,-89.150727817250839,95.317617551543719
68,2,71.24092255901877,91.335970934648202
68,3,1.5710532308496126,7.4219021765580759
69,1,-85.593018689116292,89.788431892857531
69,2,71.110914941590025,86.540448014698796
69,3,6.9478432431101353,6.7590328386981753
70,1,-88.741294524045855,92.306719709382904
70,2,73.565995297557066,86.698519792776523
70,3,-4.9943567288846307,5.6661821720435883
71,1,-93.728053670900835,91.16216816529257
71,2,71.214186502101839,90.384832534899118
71,3,3.0565688581363104,3.880829956848372
72,1,-90.373653125725468,89.659626756759465
72,2,72.359772060361379,87.537137709391928
72,3,4.0257258862246976,6.9683316203283434
73,1,-91.915245767095612,90.330766751744775
73,2,77.752023065501945,91.86063470196359
73,3,7.5464482665522352,3.1828498407792125
74,2,69.981350858471643,91.286391316631182
74,3,10.06714774346344,1.8571259346363251
75,1,-85.56180529245843,92.953223290566285
75,2,73.948365795607657,88.841600210655045
75,3,5.5810818510163163,-3.7104197943206296
76,1,-92.51586301666336,93.330314631559375
76,2,71.729284319475539,84.742491100442294
76,3,6.7393898686162945,1.1510542150069689
77,1,-94.101379868732181,94.293047629293028
77,2,69.15644167981101,87.005080590342885
77,3,8.6054681127730763,3.3306629763014914
78,1,-91.774733030936687,98.246385895118436
78,2,68.506292129538636,87.69731414511763
78,3,10.125462596490651,1.2073374477680217
79,1,-93.231052704784275,91.956806021718535
79,2,66.830699693187228,89.861458760626761
79,3,10.536620470134828,3.4587843657028281
80,1,-94.190707591592869,92.474162756820377
80,2,78.539979129313565,87.588072259880676
80,3,14.37945804664426,0.1657215565428416
81,1,-96.269735932992845,95.632762869946291
81,2,71.658047185097075,87.246339937689058
81,3,16.230414665039262,-0.52145642050856866
82,1,-104.25603897303294,96.118373179969495
82,2,72.947915437888028,83.29833385169195
82,3,12.407380098289646,-0.92189174724934431
83,1,-99.32402428887643,98.615936349812827
83,3,14.195983816987219,1.4665358371546864
84,2,70.46325345326656,86.076572303326543
84,3,11.761779706046099,-6.4701907465614772
85,1,-98.671634535600745,91.767509066156109
85,2,70.388352768537018,89.840804818202869
85,3,11.85537256277312,-2.7612053104446401
86,1,-99.393580202400003,93.274433631957024
86,2,73.437289760339226,84.61447664450813
86,3,15.35315451031614,-3.3090334868874525
87,1,-101.30078264516538,96.031211763431344
87,2,74.285703644897396,90.181894430063224
87,3,15.674495317009445,-8.7778609345468013
88,1,-99.122789252528236,98.380320311794478
88,3,17.552699214958263,-2.6605373451629131
89,2,69.609482695166676,88.455229148313265
89,3,13.91798221866464,-1.7154034175843516
90,1,-105.35391996749809,95.45394308133389
90,2,67.959627193553843,92.957285564533706
90,3,19.547747633929418,-6.0465175791398078
91,1,-103.39982797189946,94.035432086284473
91,2,74.422899748149149,83.890124234404254
91,3,17.749558917343929,-4.3857508266671523
92,1,-103.92895921946612,96.299337018267465
92,2,65.972706098897945,91.03172517636159
92,3,17.247276121303685,-5.6489894175347519
93,1,-104.73767044080752,97.407327884098351
93,2,64.498380338057743,90.359035873616691
93,3,19.991223553858067,-4.8907917066088809
94,2,67.402595874612729,86.158247235082825
94,3,19.873847214848389,-0.54755692400421374
95,1,-100.45495608904922,100.66626147034751
95,2,66.753537516492912,88.828441577117232
95,3,22.362449759914021,-6.2943998842977482
96,1,-109.16094596137752,99.814409816742071
96,2,66.58040186408833,84.675573414460004
96,3,23.088315025632944,-3.0526441600665128
97,1,-104.92195013776896,107.17070053209115
97,2,67.369661853878171,83.601928708680504
97,3,24.426845618992807,-11.625142534920329
98,1,-102.9385389051472,94.070740251394781
98,2,70.764797972581391,84.012691813070575
98,3,25.161128743422562,-3.9185822587131067
99,2,66.750048061498731,87.983935637179556
99,3,23.208460296846752,-7.4028086107716753
100,1,-108.6176620888882,100.45807361452086
100,2,63.28480418610048,86.499082892272483
100,3,22.999792634621567,-6.7687511008375116
101,1,-112.46754140164035,103.95776803103465
101,2,65.745664218225471,86.903728436216625
102,1,-110.6799485683693,103.65862182691606
102,2,72.311674597144247,88.160786265197757
102,3,25.182696066295264,-10.094442830904299
103,1,-112.66487578466769,100.95921290536013
103,2,66.854059442216879,83.055478594226742
103,3,28.019341879939805,-7.5983467662687278
104,1,-111.08439455184974,98.543226197749419
104,2,70.359685156805725,84.470534394481902
104,3,29.850805024852608,-11.15638494450128
105,1,-109.68775403426498,104.62953094711486
105,2,65.030950149370824,85.660602033488871
105,3,31.193081388789235,-12.967039280611626
106,2,60.978407079365837,81.096855658755018
107,1,-117.6517890589807,105.99013737225404
107,2,66.244248478871398,86.242139425354338
108,1,-116.09990462207969,104.59365393816699
108,2,66.051605250922208,86.275209600216897
108,3,29.44956199417738,-8.8198789316355413
109,1,-116.32861493445054,102.19849727825459
109,2,62.898242457657332,85.413887192973931
109,3,41.404848024927404,-10.438593028248839
110,1,-117.09969117464017,100.34832629095411
110,2,63.147069055924547,85.94111166633796
110,3,35.48894700443234,-13.648223431756636
111,1,-115.43720453125835,100.90210321291072
111,3,32.641530766000699,-10.145236706192646
112,1,-116.87050619096235,104.33210613955744
112,2,61.866067564923974,81.065075629977656
112,3,35.5587127773574,-13.522436858923712
113,1,-117.26256236273457,106.91155273199988
113,3,31.91976012831271,-6.5822731066579969
114,1,-119.85460895599722,107.37651318296849
114,2,63.967520716060214,82.030231778197418
114,3,37.921931016494099,-11.636328533997123
115,1,-116.87949974117996,102.55237163409328
115,2,65.467628681264145,84.396993991475483
115,3,40.535515236002666,-8.201197972806483
116,2,62.48801635089761,81.536782487689536
116,3,37.429578733785206,-14.63077070195169
117,1,-117.22388976839083,110.18206293284125
117,2,62.66100552638283,90.141048501842363
117,3,43.171789975302012,-12.414923191838
118,1,-122.24739632514445,105.32905930581938
118,2,63.582553805831346,78.817050118325753
119,1,-121.58236244389818,108.6214896810759
119,2,57.609470208876054,81.452020912302885
119,3,42.393537511896618,-17.616930914376603
120,1,-120.68448322525417,107.56073328014789
120,2,63.956488502298811,82.291078119733939
120,3,42.266094274369479,-13.635139766054532
121,1,-123.47327281394107,108.18587815851797
121,2,59.453652175178789,84.734485345144151
121,3,50.931504721294331,-14.03370818653711
122,2,68.126083064907121,81.474789258401231
122,3,41.437659062701236,-11.158753288782776
123,1,-117.43908757849826,105.86621226066254
123,2,63.057713125251084,79.047904111428579
123,3,47.578451132096404,-12.281983020529832
124,2,59.480279812147565,79.904823566343254
124,3,39.610603261270739,-14.279995624788285
125,2,63.259433627671228,84.925561213284681
125,3,50.681363879423017,-9.8616021303677481
126,2,55.814562871019561,81.107182859728837
126,3,50.050871419728686,-13.736730601013859
127,1,-125.94746774979365,109.54610194751433
127,2,56.5385243598136,85.343495461452335
127,3,52.616810316893513,-9.7522950066801037
128,1,-128.56992610225234,113.39897288434631
128,2,57.961773536223753,86.506491379968139
128,3,51.499214739185135,-14.402571495499547
129,1,-124.6072565277267,111.76728567344892
129,2,59.523521608071412,85.531800192399558
130,1,-124.67929083012788,111.41372918200221
131,1,-131.92866449084755,108.57866493493756
131,2,59.662828880326792,83.566792571137981
132,1,-129.12651536034704,109.2229439914003
132,2,58.910365749606903,91.950950865204689
132,3,60.483349802286419,-18.624447130423771
133,1,-125.32467262519916,106.78216129852443
133,2,58.753376964041948,82.289065987272693
133,3,52.784411899799508,-13.426212944767887
134,1,-130.73936244793254,113.47203126283785
134,2,64.687601797202376,77.231899775909611
134,3,56.45280330549538,-14.938856733937481
135,1,-131.08223666961683,113.42484776798263
135,3,59.343952182944179,-13.326286157704347
136,1,-130.1869078123058,112.34548299615741
136,2,53.186058929940003,85.092009765079922
137,1,-131.92448604198211,114.48249895938126
137,2,59.68614530027434,80.922897110611558
137,3,55.806817814075416,-15.149470911423643
138,1,-135.08574202550281,112.69304647477124
138,2,53.875599791876759,75.706284944108944
138,3,54.909875675575641,-16.785296857601381
139,1,-131.16312469656015,113.86244514590329
139,2,58.264639761723927,82.967228808077778
139,3,58.217287291508143,-18.444950046209097
140,1,-132.43338168192307,116.082071593896
140,3,58.275715595411164,-15.483066013358037
141,1,-142.50108774446136,108.42842302564054
141,2,60.386622313024944,85.128671126275052
141,3,69.100572250741507,-21.418577244325057
142,1,-132.46883320935066,116.2208623652638
142,3,64.734396323323679,-23.4550365293867
143,1,-137.22735959421297,115.12128329302678
143,3,64.545793511840316,-17.227472505254379
144,1,-139.98899506372325,116.8606817871482
144,2,58.19335706940246,81.15384452843422
145,1,-139.86191332329886,110.86422289296489
145,2,52.294977708656674,83.517919354790678
145,3,68.756679948161235,-17.278552630664311
146,1,-134.94953337541946,116.77982047165231
146,2,53.090879573104978,77.620655930446276
146,3,62.538348737232972,-18.721016420012457
147,1,-137.48631952596568,115.91795023573196
147,2,57.215817577315619,77.520285353818835
148,1,-142.14107679353623,121.45632943885578
148,2,56.307770137787244,80.426802269746318
148,3,68.364210548936882,-19.359574501124637
149,1,-143.54334723221476,120.76499107191951
149,2,51.96143032306842,78.043811733152623
149,3,66.392839057283183,-18.877966977170182
150,1,-142.1846130837518,116.18381212464654
150,2,51.518929733611571,82.501830964840892
150,3,64.336135028213107,-19.52845768240671
151,1,-140.64823659771992,116.086449842395
151,2,54.286685851306402,88.673630070345709
151,3,65.256442022679281,-22.721589122225836
152,3,71.15117959149525,-21.644717275145219
153,1,-140.46500007502792,117.88444393539231
153,2,54.964392707867844,79.950695198623109
153,3,67.61250226178538,-17.421004869299576
154,1,-143.20845550164265,114.46093264322747
154,2,51.843510230942449,79.809034960704338
155,1,-145.15595797692308,120.73189109947089
155,2,51.329835590746406,82.611451006784435
155,3,74.833900147883895,-23.271850319270548
156,1,-146.62068085258707,117.40619530538478
156,2,54.227421268881137,82.139746622706326
156,3,74.959367686169855,-23.663327261034265
157,2,49.628477911165916,76.945329930872077
157,3,76.329283721789594,-20.503488142854724
158,1,-143.62287879618941,120.26150201908492
158,2,50.905514137254983,82.461240886777176
158,3,77.751809060163652,-24.081097072941358
159,2,54.020196945972096,83.128153010678389
159,3,79.201734490155488,-22.45021820426955
160,1,-147.11822216782292,114.367711626497
160,2,50.269274697718103,78.55367934767267
160,3,72.40225792952377,-18.641693384872212
161,1,-147.3444785001513,118.8328583500263
161,2,47.962531252661172,79.761586682236469
161,3,78.130587121998076,-23.378030112118473
162,1,-148.84423747718657,124.03471315694347
162,2,48.845801716327635,77.772193591743815
162,3,82.037831202740037,-19.694235654712767
163,1,-149.47921181780211,117.4715040887025
163,2,48.362471850420015,79.727367778454038
163,3,80.240353604208465,-26.116677399380922
164,1,-153.89767781666342,125.05595491871992
164,2,44.650030805577117,79.676018095508169
164,3,80.976450257571699,-30.338295018627562
165,1,-155.6834050639842,121.7622218701798
165,2,50.561378272897329,84.458123857857402
165,3,80.332846436956601,-17.664711326859951
166,3,81.954004581136445,-26.156232750620664
167,1,-158.71703437443151,128.75184967042446
167,2,51.06490550883133,78.754876271642047
167,3,83.567102499655903,-23.408499418981751
168,1,-157.47883939468346,118.61302664037407
168,2,51.440681488132398,84.867436745587071
168,3,83.689129913504729,-22.599859470010614
169,1,-156.40780037323574,122.62213706177252
169,2,47.662774987829586,82.61061047495285
170,2,51.069352616003577,82.0708950300249
170,3,84.385751556094093,-22.625049081316071
171,1,-157.49407564130161,123.64972618442155
171,2,45.367864056495037,80.523636554028826
171,3,83.944606425667658,-22.397376940447625
172,1,-156.49067922355692,118.72838655627199
173,1,-157.4244310435223,122.36303030395561
173,2,46.673470427968986,79.36100220266573
173,3,89.175985899890321,-28.532961898711608
174,1,-156.56013297133057,125.69438092915971
174,2,52.008469211201636,80.190882089624154
175,1,-158.18418359331974,119.59287148655666
175,2,52.13661339586082,77.177620113744652
175,3,90.107904454105821,-22.928371030820056
176,1,-164.23078367467829,129.05988784311734
176,2,48.21299056377979,80.86162392960938
176,3,89.831079984641633,-30.909325248949084
177,1,-161.65612895860716,127.94014298621417
177,2,46.512988131479233,81.21053601735828
177,3,94.864334344564284,-30.993917032903322
178,1,-163.97613164700817,127.24071650595019
178,2,48.345947628379307,80.21678731611938
178,3,92.436175418022373,-30.978414911120527
179,1,-160.79204618915614,126.39766645299126
179,3,88.796255487109264,-26.978898462811049
180,3,94.200168279554944,-31.728203696223659
181,1,-165.19224293652553,129.01724437082794
181,3,93.648441453154149,-31.960215653562265
182,1,-167.85684090265914,126.44764704436832
182,2,43.619307411946764,83.81621615108412
182,3,90.990674299914858,-26.639817427002505
183,1,-163.47431178107644,123.27938683541477
183,2,48.888418476516385,79.451039906592513
183,3,94.452249916675129,-31.239975763864166
184,1,-165.3586419295649,130.53644413826726
184,2,46.392769489631995,83.763948376068797
184,3,105.03010631459486,-33.375362140020613
185,1,-160.50896931621639,124.80953056401167
185,2,43.568475717441601,82.286417330755114
186,1,-162.67577804359345,127.93403157948389
186,2,47.986628065917849,82.70718976495013
186,3,103.48806743944041,-33.55751211112608
187,1,-162.32489406267243,127.96504846627414
187,2,43.07929278772108,76.347272567604108
187,3,101.22299257298607,-29.658558859581767
188,1,-173.38430294443805,125.66686706928036
188,2,45.464839879200738,77.630355971218435
188,3,95.823964068042102,-33.512668484985291
189,1,-170.38981830584629,131.02815460496603
189,2,44.269901886859202,77.858893384454774
189,3,99.077519192695917,-31.025953164425864
190,1,-167.49575498226022,127.28411417452566
190,2,46.869554043732208,80.072278687392043
190,3,99.683261616896303,-33.06827072783701
191,1,-173.68931229426056,136.16306818462436
191,2,45.351251721898933,78.273452268021529
191,3,97.801114452896655,-33.33635582273795
192,1,-169.97736387731479,130.74071000718777
192,2,46.489197270911809,84.501760327183348
192,3,99.480573520633371,-31.014475747454608
