step,true_id,zx,zy
0,1,-69.23593371326848,-11.986622345656123
0,2,78.764627768242136,-0.74185591598277378
1,1,-88.519571487990603,30.267793915850906
1,2,83.783784142375836,13.944232405599665
2,1,-86.857731160567596,1.3068067080879051
2,2,64.401203676535175,17.635045768152366
3,1,-80.465229695696181,14.83902362690829
3,2,76.549516567614731,-19.623143790007642
4,1,-72.762132179337669,-3.1315140882424988
4,2,98.810688236533977,26.075774220614445
5,1,-92.403020018622385,1.1714825688344439
5,2,63.057359489050796,-24.38166142211108
6,1,-79.889795169114592,-16.374826267802913
6,2,70.325885926182124,7.6774772350559726
7,1,-94.266310245896477,-23.40533091237543
7,2,87.111617558791536,16.971400951404306
8,1,-61.700457059484663,-9.1005633376709021
8,2,73.46351267009247,-6.3799800142439285
9,1,-60.870430800100038,12.798008191660555
9,2,65.418014936270225,8.9283005322337345
10,1,-103.80481743634965,9.7894451526455804
10,2,67.33539176557872,-3.3313469449549489
11,1,-72.073226795998906,-3.8597583922089038
11,2,75.767302739828253,3.162942167016916
12,1,-68.595164715548265,-4.5914960643298643
12,2,67.711010802587779,-24.473893818752035
13,1,-74.593880947128909,10.246423717785788
13,2,84.392373079328081,-4.766811042915533
14,1,-58.403889489515308,21.152020605903179
14,2,66.649382954338989,-25.235602202628666
15,1,-76.654849223944538,13.210502790629546
15,2,54.71830076030583,-2.4843105516795405
16,1,-66.17556568006934,17.718615122750158
16,2,72.568031036132112,6.0056488269013757
17,1,-77.69761622917143,-14.689810004205942
17,2,55.02105078773026,-9.4065230974546257
18,1,-74.406809943581564,-2.1077029355958556
18,2,45.542879558740282,4.177927304849903
19,1,-65.982190974404361,-5.4558262234470618
19,2,62.713019413154143,3.9637569540825131
20,1,-65.843196715946021,2.5753317617053644
20,2,64.997797953938075,-3.545170916817967
21,1,-63.80568422797468,29.699405786964093
21,2,111.73044146140495,21.893480372932054
22,1,-63.710547547647217,1.0114004136943946
22,2,89.597281192175345,-6.4542695338771194
23,1,-66.535170833380505,-1.8884178842549206
23,2,77.680468190572,15.95370827825583
24,1,-57.806438292428751,10.832373544841211
24,2,71.086480541811056,7.2589788176807275
25,1,-55.229652560408454,20.160544014712375
25,2,68.796517835920142,-14.614706891036947
26,1,-92.567544348582032,-2.7117094052380475
26,2,96.394888539042796,17.377247228616664
27,1,-71.64962967949657,21.719909630902063
27,2,102.70862457307861,1.9479145335474926
28,1,-78.606689084623596,-0.18997111574809356
28,2,80.454649905086285,-13.490878722702593
29,1,-82.829382663169767,4.0683291942572728
29,2,63.429279398005001,18.583721722507207
30,1,-63.896436363779941,20.686774549573471
30,2,86.328976722817913,-15.122403644398343
31,1,-73.511967095546254,-3.6498870182018046
31,2,68.898827576212824,3.8599375059795875
32,1,-71.26327848014131,-22.782616072520806
32,2,81.692598365045583,21.360145667641699
33,1,-76.54459030035126,-1.8161468779121233
33,2,52.40269716624725,6.1008194621011089
34,1,-71.534945034096324,14.355703816038929
34,2,68.862394245697018,-22.958250606945505
35,1,-77.550730142004525,-4.1637417625747322
35,2,61.745243258201583,-2.4968071434870893
36,1,-83.129350069253576,4.7704793015824771
36,2,78.644384344390147,19.218387284589639
37,1,-83.930424377823073,1.5585868558523186
37,2,49.174719264856563,5.9009338359518022
38,1,-65.115916818107195,24.096900914786723
38,2,69.778115759763011,-0.78633693297066287
39,1,-74.501395399869068,-23.138167824354465
39,2,58.784858597928249,-46.027064794564424
40,1,-62.806127569624252,8.2825864497834321
40,2,79.344874396975271,-15.495195610841323
41,1,-63.466160801888641,21.750633760235132
41,2,51.789910947126344,-26.189439995956281
42,1,-44.160464379557162,-10.948192263892439
42,2,70.101782744638129,-6.5044813523975735
43,1,-59.607266414384931,8.7236840450922077
43,2,67.832901387198461,30.696483282205438
44,1,-95.400760708646914,5.0172274815491518
44,2,62.343937538845786,-6.0476957026240195
45,1,-84.065236888648585,-7.5932140479286527
45,2,70.33298417089523,19.475187652902768
46,1,-70.809140817162103,20.733540336088485
46,2,43.811487257878255,-32.406427483486027
47,1,-64.222340637075789,-5.392171601180392
47,2,71.054742572496423,24.066213438335847
48,1,-76.210337373550331,-25.06554222565692
48,2,49.788781690755194,0.87247658302718445
49,1,-62.203722104080796,2.5531286108324474
49,2,55.205626471902917,6.9245838686629755
50,1,-73.774316529193641,-4.7274352828378712
50,2,73.1387380544287,5.0405142975924333
51,1,-59.760913912497472,-6.3665692614633125
51,2,51.493051028750507,-5.9539067090715827
52,1,-63.683509187273735,-18.069702316669488
52,2,76.138745939686643,9.8579397281068459
53,1,-77.007895531502655,25.719245002455438
53,2,78.95742276249608,17.665545989526745
54,1,-50.014471035141966,6.5332569449788087
54,2,63.986993036243121,-16.294531280484723
55,1,-62.830179365973493,-1.2824365692280606
55,2,57.7941136655365,-7.3225634244677709
56,1,-69.113997862405569,-1.6949627344025402
56,2,70.950958320503574,-0.43370443897072253
57,1,-56.808589960066413,8.0751882833285329
57,2,61.350079980379803,18.814305131527842
58,1,-85.092603651395123,-15.228821542633177
58,2,33.659883077955641,1.1615852028948626
59,1,-46.360606957251264,4.3139079537445681
59,2,54.493090037097467,16.720049665092851
60,1,-70.568766758985902,-7.2364413888757966
60,2,47.83219808075745,14.046726163276086
61,1,-88.864777352517663,-45.577427876845206
61,2,58.500728993291183,-20.357872661546132
62,1,-87.283905797273178,3.5525016828400093
62,2,61.932926567814022,-20.223184655110071
63,1,-37.709015755125549,6.4360773070989179
63,2,55.365202940233601,1.1586667911212212
64,1,-55.650916303316045,15.785754745559577
64,2,60.034789999023999,8.4420571059939764
65,1,-50.563725046886987,19.398183343899746
65,2,86.986963898697212,-7.4400430724148228
66,1,-27.454933046337629,16.949480848757453
66,2,59.543012410377393,1.4384839435855168
67,1,-38.936740331778537,24.228381930593756
67,2,41.830543554088848,18.005924880942409
68,1,-58.885798401222331,-18.590036763404836
68,2,55.961404645139993,25.270966294328804
69,1,-60.856496539483913,-12.301263193165784
69,2,76.787395070448412,-1.3428948793817221
70,1,-61.441638898342553,-0.73211101796655753
70,2,80.80390696857782,-18.738669059528622
71,1,-23.736815728420012,4.7037258407923455
71,2,65.313805587625552,28.496660359457639
72,1,-56.252919771807989,1.2644576291008303
72,2,70.623341730927834,-1.4644343758947245
73,1,-60.874834094165372,16.172301061852909
73,2,61.05844255065724,-4.4768176049004405
74,1,-56.995383488861954,1.2072414746180478
74,2,57.88526972827627,-12.980831449338837
75,1,-65.165152939413829,-0.72130144131588492
75,2,67.102936366022178,2.0685281042427861
76,1,-76.008673033871787,13.009323755381503
76,2,40.886895209507649,2.6833461232057889
77,1,-73.526192846251178,-4.4224006768967543
77,2,44.949957584339167,14.812777148583123
78,1,-34.811519491123519,19.335816501643606
78,2,47.945793072455174,13.883421307576027
79,1,-81.231360387650156,12.402636508270206
79,2,67.332630660889407,10.665951647046883
