step,track_id,confirmed,x,y,vx,vy,misses,maha2,hits_window
1,1,0,-43.244893254899623,71.730830699260537,0,0,0,0,2
1,2,0,89.150553257152254,96.712571103534245,0,0,0,0,2
2,1,0,-43.244893254899623,71.730830699260537,0,0,1,0,1
2,2,0,90.230553037453092,93.366238752459282,6.6461623795093736,-20.592845097481732,0,1.609558404670296,2
2,3,0,-58.440967632181497,22.187792940241035,0,0,0,0,2
2,4,0,-111.10268471041023,317.61560082494248,0,0,0,0,2
3,1,0,-43.244893254899623,71.730830699260537,0,0,2,0,0
3,2,0,94.933459409786579,91.473986871713578,42.816723496489431,-27.731701698797529,0,2.9419219900908051,2
3,3,0,-57.601338604141461,21.293592395730265,5.1669555500736033,-5.5027807663153503,0,0.1958613064747762,2
3,4,0,-111.10268471041023,317.61560082494248,0,0,1,0,1
4,1,0,-47.591751708336936,66.671596471206286,-23.183303948546264,-26.982651059898821,0,1.1864236655456095,1
4,2,1,94.992349377677968,91.437857483869678,27.442290680974914,-17.759066327052608,0,0.95810432299763093,3
4,3,0,-53.950783087288691,21.360648132805391,33.240470946586527,-2.6708167376660126,0,1.723118833432832,2
4,4,0,-111.10268471041023,317.61560082494248,0,0,2,0,0
4,5,0,271.40553484071478,-329.79940458596212,0,0,0,0,2
4,6,0,-285.40314866048658,-314.49711960278506,0,0,0,0,2
5,1,0,-47.402332672415483,66.380825634711314,-16.177623194299414,-21.484630154001145,0,0.38959249689760045,2
5,2,1,96.89245064954774,91.742301119353073,30.716649306567827,-10.364306260752361,0,0.3226978571885909,4
5,3,1,-52.167163057826549,23.924297579421026,34.138417751805754,17.24697492583681,0,1.1341273123771218,3
5,4,0,-111.10268471041023,317.61560082494248,0,0,3,0,0
5,5,0,271.40553484071478,-329.79940458596212,0,0,1,0,1
5,6,0,-285.40314866048658,-314.49711960278506,0,0,1,0,1
5,7,0,167.09513686456779,318.9688508454301,0,0,0,0,2
6,1,1,-47.605553893007659,70.146449976063195,-13.172759121553815,2.5273739735085528,0,5.4104288588108149,3
6,2,1,93.298784349106484,90.920435876042646,3.836855082225135,-11.95550415642912,0,6.4967317332403898,5
6,3,1,-50.514313633477869,28.692090879111994,33.803088567602657,41.46695081570882,0,2.8948301299112127,4
6,4,0,-111.10268471041023,317.61560082494248,0,0,4,0,0
6,5,0,271.40553484071478,-329.79940458596212,0,0,2,0,0
